Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
jan/04;4207686908;432475957;2776453775;341810085;76750840;265059245;666284765;30629;5786904166;1740539129;985731738;2978527530;49802;417770;0.88;0.76;917346.23;312011.91;71.59
fev/04;3748677231;466143181;2487598057;347762513;85158820;262603693;459220386;676026;5715580929;1618078336;881333210;3148654403;50345;420849;0.69;0.61;910484.19;312558.94;71.7
mar/04;5336953197;576749464;3601073546;477420075;85935799;391484276;689780576;282987;7907130664;2452782643;1070027189;4284992907;56809;423347;1.13;0.47;913609.96;314192.85;72.19
abr/04;4627585238;551587540;2937529364;384876230;85272331;299603899;760500390;138012;6581422428;1898813260;790874715;3823521892;55324;435554;1.21;0.37;918095.92;311863.83;71.31
mai/04;4830229172;550615137;2960861890;448812347;102315374;346496973;875132053;91827;7930944020;2577222857;1009688695;4261516012;54872;445864;1.31;0.51;941268.02;300888.03;70.69
jun/04;5523155106;544263938;3543236033;466606180;108131010;358475170;975839171;280363;9306641136;3381306049;1213030358;4613619933;55580;452933;1.38;0.71;946539.21;304676.73;70.82
jul/04;5522542967;558319960;3524076066;484082821;107812514;376270307;962863664;863548;8962900814;2778036865;1348030516;4765905521;58082;457302;1.31;0.91;944978.98;312286.51;69.53
ago/04;5617645595;595847802;3651284605;447089339;82954678;364134661;929027333;240264;9051481682;2966368149;1215139269;4711743506;57685;464457;1.22;0.69;945701.39;322434.84;68.78
set/04;5744523506;582877592;3789529215;502824459;107363751;395460708;877751086;241413;8912129563;2654271767;1285027979;4840345963;57115;473707;0.69;0.33;942224.68;329702.81;68.6
out/04;5841240001;568220075;3609871097;467807073;98242113;369564960;1194449557;139148;8835878929;2303633733;1120669881;5301900383;57839;487245;0.39;0.44;949353.89;332441.74;68.6
nov/04;6069456906;654106986;3870227577;573235059;132523442;440711617;980481917;55206;8151338312;2102279477;1267465686;4683532684;58485;493284;0.82;0.69;945276.05;346267.65;67.72
dez/04;5674809686;650599943;3576854300;535311085;116716640;418594445;922687561;517381;9189831767;2055238416;1245810483;5723193419;57402;498722;0.74;0.86;961136.09;362200.82;68.03
